"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Aug 20 16:57:38 EEST 2022","Sat Aug 20 16:57:47 EEST 2022","9209","chromium","Tests.spec.js","New set of tests","","","Forget password test",""
"passed","Sat Aug 20 16:57:17 EEST 2022","Sat Aug 20 16:57:31 EEST 2022","13256","chromium","Tests.spec.js","New set of tests","","","Login with invalid password",""
"passed","Sat Aug 20 16:57:17 EEST 2022","Sat Aug 20 16:57:29 EEST 2022","11897","chromium","Tests.spec.js","New set of tests","","","Login with invalid email",""
"passed","Sat Aug 20 16:57:31 EEST 2022","Sat Aug 20 16:57:40 EEST 2022","9870","chromium","Tests.spec.js","New set of tests","","","Rgistration with valid credentials",""
"passed","Sat Aug 20 16:57:29 EEST 2022","Sat Aug 20 16:57:38 EEST 2022","8593","chromium","Tests.spec.js","New set of tests","","","Login with valid credentials",""
